  carregado 300
  carregado 600
  carregado 900
n=895

dilX dilY corta folga |  x<=3px  x<=8px |  y<=3px  y<=8px | nb=nt x nb=nt y
   4    2     6    12 | 98.99% 99.89% | 97.21% 97.21% | 56.65% 54.86%
   6    0     0     0 | 82.23% 89.16% | 75.31% 75.53% | 21.23% 38.66%
   6    0     0     6 | 85.70% 89.50% | 73.18% 73.41% | 21.34% 37.65%
   6    0     0    12 | 87.49% 89.50% | 67.26% 67.49% | 21.34% 34.64%
   6    0     3     0 | 86.03% 97.88% | 98.66% 98.77% | 41.90% 53.18%
   6    0     3     6 | 94.86% 99.44% | 97.65% 97.77% | 42.01% 52.63%
   6    0     3    12 | 98.55% 99.55% | 92.63% 92.74% | 42.01% 49.94%
   6    0     4     0 | 84.25% 97.65% | 99.78% 99.89% | 47.82% 54.08%
   6    0     4     6 | 94.19% 99.55% | 99.55% 99.66% | 48.04% 53.97%
   6    0     4    12 | 98.55% 99.66% | 95.08% 95.20% | 48.04% 51.62%
   6    0     5     0 | 83.13% 97.65% | 99.78% 100.00% | 53.41% 54.53%
   6    0     5     6 | 94.19% 99.66% | 99.55% 99.78% | 53.74% 54.41%
   6    0     5    12 | 98.66% 99.78% | 96.31% 96.54% | 53.74% 52.51%
   6    0     6     0 | 82.12% 97.54% | 99.78% 100.00% | 55.75% 54.41%
   6    0     6     6 | 93.85% 99.66% | 99.55% 99.78% | 56.09% 54.30%
   6    0     6    12 | 98.66% 99.78% | 96.98% 97.21% | 56.09% 52.85%
   6    1     0     0 | 81.56% 88.94% | 75.20% 75.53% | 23.13% 45.47%
   6    1     0     6 | 85.47% 89.39% | 73.18% 73.41% | 23.24% 44.13%
   6    1     0    12 | 87.37% 89.39% | 67.26% 67.49% | 23.24% 40.56%
   6    1     3     0 | 85.70% 97.77% | 98.66% 98.77% | 43.13% 61.12%
   6    1     3     6 | 94.86% 99.44% | 97.77% 97.77% | 43.24% 60.34%
   6    1     3    12 | 98.55% 99.55% | 92.74% 92.74% | 43.24% 57.43%
   6    1     4     0 | 84.02% 97.54% | 99.78% 99.89% | 48.38% 61.90%
   6    1     4     6 | 94.19% 99.55% | 99.66% 99.66% | 48.60% 61.68%
   6    1     4    12 | 98.55% 99.66% | 95.20% 95.20% | 48.60% 58.99%
   6    1     5     0 | 83.13% 97.54% | 99.78% 100.00% | 53.74% 62.35%
   6    1     5     6 | 94.19% 99.66% | 99.66% 99.78% | 54.08% 62.12%
   6    1     5    12 | 98.66% 99.78% | 96.42% 96.54% | 54.08% 60.11%
   6    1     6     0 | 82.12% 97.43% | 99.78% 100.00% | 56.09% 62.23%
   6    1     6     6 | 93.85% 99.66% | 99.66% 99.78% | 56.42% 62.01%
   6    1     6    12 | 98.66% 99.78% | 97.09% 97.21% | 56.42% 60.45%
   6    2     0     0 | 79.66% 89.27% | 75.53% 75.64% | 26.82% 48.72%
   6    2     0     6 | 86.26% 90.17% | 73.41% 73.52% | 26.93% 47.37%
   6    2     0    12 | 88.60% 90.17% | 67.49% 67.60% | 26.93% 43.35%
   6    2     3     0 | 84.80% 97.43% | 98.66% 98.77% | 45.70% 65.70%
   6    2     3     6 | 94.53% 99.44% | 97.77% 97.77% | 45.81% 65.14%
   6    2     3    12 | 98.32% 99.55% | 92.74% 92.74% | 45.81% 62.01%
   6    2     4     0 | 83.58% 97.43% | 99.78% 99.89% | 50.17% 66.48%
   6    2     4     6 | 94.08% 99.55% | 99.66% 99.66% | 50.39% 66.48%
   6    2     4    12 | 98.44% 99.66% | 95.20% 95.20% | 50.39% 63.58%
   6    2     5     0 | 82.79% 97.43% | 99.89% 100.00% | 54.86% 66.82%
   6    2     5     6 | 94.08% 99.66% | 99.78% 99.78% | 55.08% 66.82%
   6    2     5    12 | 98.55% 99.78% | 96.54% 96.54% | 55.08% 64.69%
   6    2     6     0 | 81.79% 97.32% | 99.89% 100.00% | 56.76% 66.82%
   6    2     6     6 | 93.74% 99.66% | 99.78% 99.78% | 56.98% 66.82%
   6    2     6    12 | 98.55% 99.78% | 97.21% 97.21% | 56.98% 65.14%
   8    0     0     0 | 80.45% 89.83% | 75.31% 75.53% | 21.23% 40.34%
   8    0     0     6 | 85.03% 90.06% | 73.18% 73.41% | 21.23% 39.33%
   8    0     0    12 | 87.15% 90.17% | 67.26% 67.49% | 21.23% 36.31%
   8    0     3     0 | 81.45% 96.54% | 98.66% 98.77% | 42.01% 54.97%
   8    0     3     6 | 92.51% 98.66% | 97.65% 97.77% | 42.01% 54.41%
   8    0     3    12 | 97.65% 99.33% | 92.63% 92.74% | 42.01% 51.73%
   8    0     4     0 | 79.44% 96.20% | 99.78% 99.89% | 48.04% 55.42%
   8    0     4     6 | 91.73% 98.66% | 99.55% 99.66% | 48.04% 55.31%
   8    0     4    12 | 97.43% 99.33% | 95.08% 95.20% | 48.04% 52.96%
   8    0     5     0 | 78.10% 96.20% | 99.78% 100.00% | 53.74% 55.64%
   8    0     5     6 | 91.51% 98.77% | 99.55% 99.78% | 53.74% 55.53%
   8    0     5    12 | 97.43% 99.44% | 96.31% 96.54% | 53.74% 53.63%
   8    0     6     0 | 76.87% 95.87% | 99.78% 100.00% | 56.09% 55.53%
   8    0     6     6 | 90.61% 98.77% | 99.55% 99.78% | 56.09% 55.42%
   8    0     6    12 | 97.32% 99.44% | 96.98% 97.21% | 56.09% 53.97%
   8    1     0     0 | 79.55% 89.39% | 75.20% 75.53% | 23.02% 48.27%
   8    1     0     6 | 84.58% 89.61% | 73.18% 73.41% | 23.02% 46.93%
   8    1     0    12 | 86.82% 89.83% | 67.26% 67.49% | 23.02% 43.35%
   8    1     3     0 | 81.12% 96.54% | 98.66% 98.77% | 43.02% 64.58%
   8    1     3     6 | 92.40% 98.66% | 97.77% 97.77% | 43.02% 63.80%
   8    1     3    12 | 97.65% 99.33% | 92.74% 92.74% | 43.02% 60.89%
   8    1     4     0 | 79.22% 96.20% | 99.78% 99.89% | 48.38% 65.03%
   8    1     4     6 | 91.62% 98.66% | 99.66% 99.66% | 48.38% 64.80%
   8    1     4    12 | 97.43% 99.33% | 95.20% 95.20% | 48.38% 62.12%
   8    1     5     0 | 78.10% 96.20% | 99.78% 100.00% | 53.85% 65.47%
   8    1     5     6 | 91.51% 98.77% | 99.66% 99.78% | 53.85% 65.25%
   8    1     5    12 | 97.43% 99.44% | 96.42% 96.54% | 53.85% 63.24%
   8    1     6     0 | 76.87% 95.87% | 99.78% 100.00% | 56.20% 65.36%
   8    1     6     6 | 90.61% 98.77% | 99.66% 99.78% | 56.20% 65.14%
   8    1     6    12 | 97.32% 99.44% | 97.09% 97.21% | 56.20% 63.58%
   8    2     0     0 | 76.09% 89.05% | 75.53% 75.64% | 26.70% 52.85%
   8    2     0     6 | 84.02% 89.72% | 73.41% 73.52% | 26.70% 51.51%
   8    2     0    12 | 87.15% 90.06% | 67.49% 67.60% | 26.70% 47.60%
   8    2     3     0 | 79.78% 96.20% | 98.66% 98.77% | 45.59% 71.73%
   8    2     3     6 | 91.84% 98.55% | 97.77% 97.77% | 45.59% 71.17%
   8    2     3    12 | 97.32% 99.22% | 92.74% 92.74% | 45.59% 67.93%
   8    2     4     0 | 78.55% 96.09% | 99.78% 99.89% | 50.17% 72.18%
   8    2     4     6 | 91.28% 98.66% | 99.66% 99.66% | 50.17% 72.18%
   8    2     4    12 | 97.32% 99.33% | 95.20% 95.20% | 50.17% 69.27%
   8    2     5     0 | 77.77% 96.09% | 99.89% 100.00% | 54.86% 72.63%
   8    2     5     6 | 91.17% 98.77% | 99.78% 99.78% | 54.86% 72.63%
   8    2     5    12 | 97.32% 99.44% | 96.54% 96.54% | 54.86% 70.50%
   8    2     6     0 | 76.54% 95.75% | 99.89% 100.00% | 56.76% 72.63%
   8    2     6     6 | 90.28% 98.77% | 99.78% 99.78% | 56.76% 72.63%
   8    2     6    12 | 97.21% 99.44% | 97.21% 97.21% | 56.76% 70.95%

TOP 8 por (x<=3px + y<=3px):
  dilX=3 dilY=2 corta=5 folga=6 -> x 96.87% / y 99.78% | nb=nt x 54.19% y 47.49%
  dilX=3 dilY=1 corta=5 folga=6 -> x 96.98% / y 99.66% | nb=nt x 52.85% y 47.04%
  dilX=3 dilY=1 corta=4 folga=6 -> x 96.98% / y 99.55% | nb=nt x 47.49% y 43.91%
  dilX=3 dilY=2 corta=4 folga=6 -> x 96.87% / y 99.66% | nb=nt x 49.50% y 44.58%
  dilX=3 dilY=2 corta=6 folga=12 -> x 99.22% / y 97.21% | nb=nt x 56.09% y 47.71%
  dilX=3 dilY=1 corta=6 folga=6 -> x 96.65% / y 99.66% | nb=nt x 55.20% y 48.72%
  dilX=3 dilY=1 corta=6 folga=12 -> x 99.22% / y 97.09% | nb=nt x 55.20% y 47.26%
  dilX=3 dilY=2 corta=6 folga=6 -> x 96.54% / y 99.78% | nb=nt x 56.09% y 49.16%
